Производитель;Артикул;Наименование;Объем;Состав;Вязкость;API;ACEA;Допуски OEM;Цена;Количество
KENDALL;1060743;Моторное масло KENDALL GT-1 Full Synthetic (European Formula) SAE 5W-40 (0,946л);0,946;Синтетическое;5W-40;;;;0;1
76;1042076;Моторное масло 76 Super Synthetic Blend SAE 10W-30 (0,946л);0,946;Синтетическое;10W-30;SN;;Chrysler MS 6395;0;1
KENDALL;1057236;Моторное масло KENDALL GT-1 High Mileage Synthetic Blend Motor Oil with Liquid Titanium® SAE 10W-40 (0,946л);0,946;Синтетическое;10W-40;SN;;Chrysler MS 6395,Ford WSS-M2C 945-A,Ford WSS-M2C 946-A,GM 6094M;0;Мало
KENDALL;1057261;Моторное масло KENDALL GT-1 High Performance Motor Oil with Liquid Titanium® SAE 10W-40 (0,946л);0,946;Синтетическое;10W-40;SN;;;0;1
76;1056006;Моторное масло 76 Guardol ECT With Titanium SAE 10W-30 (0,946л);0,946;Полусинтетическое;10W-30;CJ-4,SM;E5,E7;Caterpillar ECF-3,Cummins CES 20081,Mack EO M Plus,Volvo VDS-4;0;1
KENDALL;1057267;Моторное масло KENDALL GT-1 High Performance Motor Oil with Liquid Titanium® SAE 20W-50 (0,946л);0,946;Синтетическое;20W-50;SN;;;0;1
KENDALL;1060949;Моторное масло KENDALL GT-1 Dexos1 Motor Oil SAE 5W-30 (0,946л);0,946;Синтетическое;5W-30;SN;;;0;1
76;1043436;Моторное масло 76 Super Synthetic Blend SAE 5W-20 (0,946л);0,946;Синтетическое;5W-20;SN;;Chrysler MS 6395,Ford WSS-M2C 945-A;0;1
KENDALL;1057232;Моторное масло KENDALL GT-1® Full Synthetic Motor Oil With Liquid Titanium SAE 5W-30 (0,946л);0,946;Синтетическое;5W-30;SN;;FORD WSS-M2C946-A;0;1
KENDALL;a-1055619;Моторное масло KENDALL GT-1 Full Synthetic (European Formula) SAE 5W-40 (0,946л);0,946;Синтетическое;5W-40;CF,SM;A3,B3,B4;BMW Longlife-01,MB 229.5,PORSCHE A40,VW 502.00,VW 505.00;0;1
FRAM;1057024;Моторное масло FRAM Full Synthetic SAE 10W-30 (0,946л);0,946;Синтетическое;10W-30;CF,SM;;Chrysler MS 6395,GM 6094M;0;1
FRAM;1057043;Моторное масло FRAM Full Synthetic SAE 5W-20 (0,946л);0,946;Синтетическое;5W-20;CF,SM;;Chrysler MS 6395,Ford WSS-M2C 930-A,GM 6094M;0;1
FRAM;1057025;Моторное масло FRAM Full Synthetic SAE 5W-30 (0,946л);0,946;Синтетическое;5W-30;CF,SM;;Chrysler MS 6395,Ford WSS-M2C 929-A,GM 6094M;0;1
76;1043361;Моторное масло 76 Super Motor Oil SAE 20W-50 (0,946л);0,946;Синтетическое;20W-50;SL;;;0;1
KENDALL;1057263;Моторное масло KENDALL GT-1 High Performance Motor Oil with Liquid Titanium® SAE 10W-40 (3,780л);3,78;Синтетическое;10W-40;SN;;;0;Мало
DRAGON;DSSU5w30GXO_SN_01;Моторное масло DRAGON SSU GXO SAE 5W-30 (1л);1;Синтетическое;5W-30;SN;;ILSAC GF-5 RC;0;1
DRAGON;DSSU15w40DXO_01;Моторное масло DRAGON SSU DXO Turbo SAE 15W-40 (1л);1;Синтетическое;15W-40; CF-4,CH-4,CI-4; E3,E5,E7;MACK EOM,MAN 3275,MB 228.3,MB 229.1,VOLVO VDS-3;0;1
DRAGON;DSSU10w40DXO_01;Моторное масло DRAGON SSU DXO SAE 10W-40 (1л);1;Синтетическое;10W-40;CI-4; E3,E5,E7;  MACK EO-M,MAN 3275,MB228.3,VOLVO VDS-3;0;1
DRAGON;DSSU5w40EUR_01;Моторное масло DRAGON SSU Euro XT SAE 5W-40 (1л);1;Синтетическое;5W-40; CF,SM; C3,A3,B4; VW 505.00,BMW LL-04,MB 229.31,VW 502.00;0;1
DRAGON;DSN5w30_01 ;Моторное масло DRAGON SN SAE 5W-30 (1л);1;Полусинтетическое;5W-30;SN;;ILSAC GF-5 RC;0;1
DRAGON;DSN10w40_01;Моторное масло DRAGON SN SAE 10W-40 (1л);1;Полусинтетическое;10W-40;SN;;ILSAC GF-5 RC;1;1
DRAGON;DCF5w30_01;Моторное масло DRAGON Super CF SAE 5W-30 (1л);1;Минеральное;5W-30; SG,CF-4;;KS M 2121;1;1
DRAGON;DCF10w30_01;Моторное масло DRAGON Super CF SAE 10W-30 (1л);1;Минеральное;10W-30; SG,CF-4;;KS M 2121;1;1
DRAGON;DCF15w40_01;Моторное масло DRAGON Super CF SAE 15W-40 (1л);1;Минеральное;15W-40; SG,CF-4;;KS M 2121;1;1
DRAGON;DCH10w30_01;Моторное масло DRAGON CH SAE 10W-30 (1л);1;Минеральное;10W30; SJ,CH-4;;  KS M 2121,Allison C-4,Cummins CES-20071,Mack EO-M;1;1
DRAGON;DCH15w40_01;Моторное масло DRAGON CH SAE 15W-40 (1л);1;Минеральное;15W-40; SJ,CH-4;;  KS M 2122,Allison C-4,Cummins CES-20071,Mack EO-M;1;1
DRAGON;DTB15w40_04;Моторное масло DRAGON Turbo Best SAE 15W-40 (4л);4;Минеральное;15W-40;CG-4;E3;  MTU OIL TYPE-2,MAN M 3275,MB 228.3,MB 229.1,VOLVO VDS-2;1;1
DRAGON;DTB15w40_200;Моторное масло DRAGON Turbo Best SAE 15W-40 (200л);200;Минеральное;15W-40;CG-4;E3;  MTU OIL TYPE-2,MAN M 3275,MB 228.3,MB 229.1,VOLVO VDS-2;1;1
ELF;194887;Моторное масло ELF Evolution 900 FT SAE 5W-40 (1л);1;Синтеническое;5W-40;SM/CF;A3/B4; VW 505.00,BMW-LL-01,MB 229.5,VW 502.00;1;1
